date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:21	64505/64505	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Dec%202018%2007:09:50%20GMT	https://www.elsevier.com/events/conferences/international-brain-stimulation-conference	C:/My%20Web%20Sites/elsevier/www.elsevier.com/events/conferences/international-brain-stimulation-conference.html	(from )
16:40:21	1404/1404	---MC-	200	added ('OK')	text/plain	date:Fri,%2006%20Jul%202018%2009:30:51%20GMT	https://www.elsevier.com/robots.txt		(from )
16:40:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2015%20Dec%202018%2011:10:22%20GMT	http://cdn.optimizely.com/js/269842467.js	C:/My%20Web%20Sites/elsevier/cdn.optimizely.com/js/269842467.1.delayed	(from https://www.elsevier.com/events/conferences/international-brain-stimulation-conference)
16:40:23	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2015%20Dec%202018%2011:10:23%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/elsevier/www.googletagmanager.com/gtm.35445.delayed	(from https://www.elsevier.com/events/conferences/international-brain-stimulation-conference)
16:40:23	570765/570765	---M-Z	200	added ('OK')	text/javascript	etag:%22dd9ec84d92bf9345eec140449c4b44c6%22	https://cdn.optimizely.com/js/269842467.js	C:/My%20Web%20Sites/elsevier/cdn.optimizely.com/js/269842467.js	(from https://www.elsevier.com/events/conferences/international-brain-stimulation-conference)
16:40:24	1195/1195	---M--	200	added ('OK')	image/png	etag:%22ce6b66da7fe307f8eefd08bcee38f6f1%22	https://cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/elsevier/cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-57x57.png	(from https://www.elsevier.com/events/conferences/international-brain-stimulation-conference)
16:40:25	2032/2032	---M--	200	added ('OK')	image/png	etag:%22b677ce9e5b0e8afd29c4ebfd6faf8c31%22	https://cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/elsevier/cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-114x114.png	(from https://www.elsevier.com/events/conferences/international-brain-stimulation-conference)
16:40:26	1404/1404	---M--	200	added ('OK')	image/png	etag:%228bab739267cdc15239e762e00e8a7671%22	https://cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/elsevier/cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-72x72.png	(from https://www.elsevier.com/events/conferences/international-brain-stimulation-conference)
16:40:27	2419/2419	---M--	200	added ('OK')	image/png	etag:%22ad6ca2409443d993510340d37b8f2bbf%22	https://cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/elsevier/cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-144x144.png	(from https://www.elsevier.com/events/conferences/international-brain-stimulation-conference)
16:40:27	1230/1230	---M--	200	added ('OK')	image/png	etag:%226bd6620b1227565696c70475b1b4bd79%22	https://cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/elsevier/cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-60x60.png	(from https://www.elsevier.com/events/conferences/international-brain-stimulation-conference)
16:40:27	2059/2059	---M--	200	added ('OK')	image/png	etag:%2294790ab040bb859ec576c22b17d289ee%22	https://cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/elsevier/cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-120x120.png	(from https://www.elsevier.com/events/conferences/international-brain-stimulation-conference)
16:40:28	1496/1496	---M--	200	added ('OK')	image/png	etag:%22b0231cd21840790f00756f5e3f389bf5%22	https://cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/elsevier/cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-76x76.png	(from https://www.elsevier.com/events/conferences/international-brain-stimulation-conference)
16:40:29	2556/2556	---M--	200	added ('OK')	image/png	etag:%228bf06839327d7d7963157c342109f985%22	https://cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/elsevier/cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-152x152.png	(from https://www.elsevier.com/events/conferences/international-brain-stimulation-conference)
16:40:29	2945/2945	---M--	200	added ('OK')	image/png	etag:%22a20743dde8db4773bd72fd2acd8acb38%22	https://cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-180x180.png	C:/My%20Web%20Sites/elsevier/cdn.elsevier.io/verona/includes/favicons/apple-touch-icon-180x180.png	(from https://www.elsevier.com/events/conferences/international-brain-stimulation-conference)
16:40:30	3141/3141	---M--	200	added ('OK')	image/png	etag:%22fc3a728f3675a53a700eb1429f535473%22	https://cdn.elsevier.io/verona/includes/favicons/favicon-192x192.png	C:/My%20Web%20Sites/elsevier/cdn.elsevier.io/verona/includes/favicons/favicon-192x192.png	(from https://www.elsevier.com/events/conferences/international-brain-stimulation-conference)
16:40:31	2643/2643	---M--	200	added ('OK')	image/png	etag:%22c75e92e7e6be8ca365e223d9bbe9af20%22	https://cdn.elsevier.io/verona/includes/favicons/favicon-160x160.png	C:/My%20Web%20Sites/elsevier/cdn.elsevier.io/verona/includes/favicons/favicon-160x160.png	(from https://www.elsevier.com/events/conferences/international-brain-stimulation-conference)
16:40:31	1767/1767	---M--	200	added ('OK')	image/png	etag:%22ddc464cdd20efcdcaa38d0b0855d0fc5%22	https://cdn.elsevier.io/verona/includes/favicons/favicon-96x96.png	C:/My%20Web%20Sites/elsevier/cdn.elsevier.io/verona/includes/favicons/favicon-96x96.png	(from https://www.elsevier.com/events/conferences/international-brain-stimulation-conference)
16:40:31	958/958	---M--	200	added ('OK')	image/png	etag:%22863c27bef14f3edd55d2cb374407367e%22	https://cdn.elsevier.io/verona/includes/favicons/favicon-16x16.png	C:/My%20Web%20Sites/elsevier/cdn.elsevier.io/verona/includes/favicons/favicon-16x16.png	(from https://www.elsevier.com/events/conferences/international-brain-stimulation-conference)
